,Coord_1_Casa,Coord_1_Lavoro,Coord_2_Casa,Coord_2_Lavoro,Giorni_al_1Lav,Giorni_al_2Lav,Id_Term,Km_Percorsi,N_Case,N_Giorni_Pres,N_Lavori,N_Soste_Univ,Notti_1Casa,Notti_2Casa,Notti_In,Notti_Out,Trans_Confine,Veh_Type
838,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712674,4251.462199999998,0,3,0,1,0,0,1,1,3,2
839,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712695,34484.69899999997,0,5,0,1,0,0,0,4,8,2
840,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712705,336382.09730000014,0,12,0,1,0,0,3,8,1,2
841,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712713,88.74889999999998,0,1,0,1,0,0,0,0,0,2
842,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712755,514657.14569999976,0,8,0,1,0,0,4,3,2,2
843,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712787,22637.857100000005,0,14,0,1,0,0,0,13,13,2
844,"[10.314493000000001, 45.311968999999998]","[-1, -1]","[10.337796000000001, 45.335448]","[-1, -1]",0,0,2712790,33029.522999999994,2,40,0,0,27,2,31,4,11,2
845,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712826,533207.2984999998,0,8,0,1,0,0,2,5,4,2
846,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712839,35531.692700000014,0,4,0,1,0,0,0,2,1,2
847,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712840,504073.0801000001,0,14,0,1,0,0,3,8,3,2
848,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712843,176521.80179999984,0,7,0,1,0,0,0,6,3,2
849,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712848,55923.82759999999,0,5,0,1,0,0,0,4,6,2
850,"[9.7793220000000005, 45.593899999999998]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712860,318987.7930000001,1,29,0,0,7,0,5,23,12,2
851,"[10.486311000000001, 45.612454]","[-1, -1]","[10.472771, 45.651195999999999]","[-1, -1]",0,0,2712873,12880.141200000051,2,58,0,1,53,3,59,0,9,2
852,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712889,280725.39259999996,0,3,0,1,0,0,0,2,3,2
853,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712894,577694.5307,0,14,0,1,0,0,3,10,4,2
854,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712903,517320.8729000008,0,9,0,1,0,0,2,6,5,2
855,"[10.033023999999999, 45.126126999999997]","[-1, -1]","[10.521817, 45.586039]","[-1, -1]",0,0,2712917,23892.58770000002,2,47,0,0,25,4,44,2,26,2
856,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712918,472737.17860000016,0,17,0,1,0,0,1,14,9,2
857,"[10.899459, 45.411644000000003]","[-1, -1]","[10.873186, 45.414147999999997]","[-1, -1]",0,0,2712921,573335.1026999969,2,25,0,1,2,4,11,13,6,2
858,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712922,43977.10529999999,0,6,0,1,0,0,1,4,4,2
859,"[10.509043, 45.622947000000003]","[-1, -1]","[10.543839999999999, 45.561064000000002]","[-1, -1]",0,0,2712926,16988.52559999997,2,47,0,2,22,21,45,1,46,2
860,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712930,85.60530000000001,0,1,0,1,0,0,0,0,0,2
861,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712938,9189.5071,0,3,0,1,0,0,1,1,2,2
